0,"('크루즈', 18774)"
1,"('여행', 14026)"
2,"('수', 8594)"
3,"('것', 7342)"
4,"('가격', 5309)"
5,"('그', 4044)"
6,"('인', 4007)"
7,"('선실', 3945)"
8,"('이', 3523)"
9,"('박', 3457)"
10,"('등', 3435)"
11,"('예약', 3290)"
12,"('곳', 3255)"
13,"('출발', 3246)"
14,"('시간', 3059)"
15,"('사람', 2958)"
16,"('및', 2670)"
17,"('기항지', 2631)"
18,"('전', 2616)"
19,"('때', 2601)"
20,"('관광', 2510)"
21,"('요금', 2499)"
22,"('승객', 2336)"
23,"('배', 2215)"
24,"('더', 2197)"
25,"('위', 2188)"
26,"('층', 2188)"
27,"('발코니', 2128)"
28,"('일', 2127)"
29,"('후', 2076)"
30,"('내', 2052)"
31,"('정보', 2012)"
32,"('상품', 1973)"
33,"('한국', 1832)"
34,"('포함', 1823)"
35,"('우리', 1786)"
36,"('이용', 1730)"
37,"('서비스', 1728)"
38,"('세계', 1723)"
39,"('항공', 1699)"
40,"('생각', 1653)"
41,"('때문', 1635)"
42,"('말', 1618)"
43,"('도시', 1614)"
44,"('가장', 1604)"
45,"('호텔', 1591)"
46,"('투어', 1582)"
47,"('일정', 1576)"
48,"('안', 1499)"
49,"('약', 1494)"
50,"('사진', 1454)"
51,"('이상', 1407)"
52,"('유럽', 1402)"
53,"('안내', 1397)"
54,"('미국', 1363)"
55,"('저', 1360)"
56,"('정도', 1347)"
57,"('나', 1337)"
58,"('섬', 1313)"
59,"('제공', 1301)"
60,"('시', 1297)"
61,"('중', 1280)"
62,"('모든', 1271)"
63,"('지중해', 1270)"
64,"('라이프', 1254)"
65,"('바다', 1237)"
66,"('위해', 1237)"
67,"('대한', 1230)"
68,"('선상', 1196)"
69,"('준비', 1189)"
70,"('도착', 1184)"
71,"('경우', 1175)"
72,"('시작', 1148)"
73,"('편', 1123)"
74,"('각', 1122)"
75,"('팁', 1105)"
76,"('명', 1105)"
77,"('를', 1098)"
78,"('비용', 1093)"
79,"('수도', 1088)"
80,"('총', 1088)"
81,"('의', 1086)"
82,"('뷰', 1076)"
83,"('카페', 1073)"
84,"('또', 1069)"
85,"('분', 1052)"
86,"('다른', 1051)"
87,"('오늘', 1050)"
88,"('개', 1045)"
89,"('전화', 1043)"
90,"('날', 1029)"
91,"('식사', 1028)"
92,"('제', 1025)"
93,"('타고', 1012)"
94,"('하나', 995)"
95,"('거', 991)"
96,"('문화', 984)"
97,"('문제', 969)"
98,"('정말', 965)"
99,"('중국', 965)"
100,"('다시', 954)"
101,"('상조', 943)"
102,"('선', 937)"
103,"('추가', 925)"
104,"('무료', 921)"
105,"('바로', 916)"
106,"('돈', 915)"
107,"('오션', 911)"
108,"('방', 907)"
109,"('거리', 899)"
110,"('도', 896)"
111,"('공항', 888)"
112,"('대표', 884)"
113,"('좀', 881)"
114,"('호', 878)"
115,"('저희', 876)"
116,"('또한', 873)"
117,"('카톡', 871)"
118,"('볼', 867)"
119,"('번', 862)"
120,"('네이버', 853)"
121,"('앞', 845)"
122,"('동안', 833)"
123,"('사용', 829)"
124,"('북유럽', 826)"
125,"('경험', 824)"
126,"('음식', 823)"
127,"('집', 822)"
128,"('금액', 811)"
129,"('소리', 809)"
130,"('오후', 796)"
131,"('이동', 794)"
132,"('등급', 793)"
133,"('승선', 793)"
134,"('가입', 787)"
135,"('모습', 783)"
136,"('모두', 783)"
137,"('여기', 782)"
